6285216584912,BAROKAH JAYA,2025-08-27T08:51:22.358Z
6282335617369,Barokah Lancar Jaya,2025-08-27T08:51:55.393Z
6281338405376,BAROKAH UTAMA,2025-08-27T08:52:28.499Z
6285858563976,Basma,2025-08-27T08:53:01.588Z
6281338365163,Beelong Shop,2025-08-27T08:53:34.659Z
6282147910730,BELA CELL,2025-08-27T08:54:07.738Z
6285739018246,Beriana Mart,2025-08-27T08:54:40.781Z
6285237764688,BFC Ngurah Rai,2025-08-27T08:55:16.955Z
6281337125414,BFC RAMA,2025-08-27T08:55:50.065Z
6281916812260,Bimbel Gasing,2025-08-27T08:56:23.156Z
6282337077267,BINTANG MADURA,2025-08-27T08:56:59.283Z
6282247466566,BM HOTSPOT/ Kavenzo,2025-08-27T08:57:35.391Z
6287861592207,BMC,2025-08-27T08:58:08.476Z
6283119862650,BMW MART,2025-08-27T08:58:41.544Z
6285739048544,BOGA WARUNG,2025-08-27T08:59:14.586Z
628179795400,Bor Bor net,2025-08-27T08:59:47.659Z
6282147184946,Bratan Jaya,2025-08-27T09:00:25.372Z
6282144699872,BRO MART,2025-08-27T09:00:58.479Z
6281916656733,BU ANGGA,2025-08-27T09:01:31.623Z
6281805517297,BU AYU BUKIT JATI,2025-08-27T09:02:05.244Z
6281238931666,BU DARMAWAN,2025-08-27T09:02:44.545Z
6287865585066,BU DEWI,2025-08-27T09:03:20.688Z
6285238869616,BU DILA,2025-08-27T09:03:53.765Z
6289661540700,BU GAYUS,2025-08-27T09:04:29.913Z
6285961514420,Bu Indra/ Queen,2025-08-27T09:05:03.554Z
6282144842374,Bu Ngah Air Kuning,2025-08-27T09:05:39.730Z
6285739505939,Bu Nova Perumnas,2025-08-27T09:06:12.815Z
6281238170035,BU PARNO,2025-08-27T09:06:45.835Z
6285238079099,Bu santi,2025-08-27T09:07:22.068Z
6281999088593,Bu Tunik,2025-08-27T09:08:04.806Z
6287784791656,BUANA SARI,2025-08-27T09:08:46.961Z
6281936553397,Budi Ayu,2025-08-27T09:09:20.039Z
6285738191246,Budi Cell,2025-08-27T09:09:53.091Z
6287861616169,Budi Mertha,2025-08-27T09:10:26.211Z
6285237305658,Buk  Ririn,2025-08-27T09:11:02.575Z
6281999280809,Buk Eka,2025-08-27T09:11:35.626Z
6287865351580,BUK EVA,2025-08-27T09:12:11.904Z
6281236751029,Buk Happy,2025-08-27T09:12:51.178Z
6287762847510,Buk Witri,2025-08-27T09:13:24.214Z
#N/A,buk wiwik,2025-08-27T09:13:54.508Z
6281999196013,BUKIT BINTANG GROSIR,2025-08-27T09:14:27.794Z
6282144806845,Bulan Mart,2025-08-27T09:15:05.036Z
6285936136673,Bumdes Amerta Jyoti,2025-08-27T09:15:38.171Z
6281998341441,Bumdes Asasta,2025-08-27T09:16:11.256Z
6285861673247,Bumdes Catur Graha,2025-08-27T09:16:44.376Z
6281236098099,BUMDES JAGARAGA 2,2025-08-27T09:17:17.470Z
62818351230,BUMDES JUMPAI,2025-08-27T09:17:50.502Z
6287762656665,BUMDES MART 2,2025-08-27T09:18:26.689Z
6285739795871,Bumdes Mundeh Kauh,2025-08-27T09:18:59.788Z
6289655983948,BUMDES SARI AMRETA SUDHA,2025-08-27T09:19:36.186Z
6285738080420,BUMDES SATYADHARMA WINANGUN,2025-08-27T09:20:09.388Z
6285953914944,Bumdesa Cipta Mahadana,2025-08-27T09:29:40.074Z
6287858196948,Bumdesa Tegal badeng barat,2025-08-27T09:30:13.463Z
6285737577277,Bumi Mart,2025-08-27T09:30:46.742Z
6281916296777,Bunutan Cell,2025-08-27T09:31:29.391Z
628124621170,C'Bezt Alas Kedaton,2025-08-27T09:32:02.553Z
6281238504300,C`Best Tuban,2025-08-27T09:32:35.614Z
6282147183064,Cahaya Nandita,2025-08-27T09:33:14.796Z
6281337335119,Cahaya Wirama Bebandem,2025-08-27T09:33:47.895Z
6282341391252,Cahaya Wirama Selat,2025-08-27T09:34:20.984Z
6281236556997,CAHYA GAME ONLINE,2025-08-27T09:34:58.714Z
62895803091374,CANTEEN COLLATE,2025-08-27T09:35:31.860Z
6281915651873,CARMA CELL,2025-08-27T09:36:05.364Z
6285238390071,Catur Berkah,2025-08-27T09:36:38.418Z
6282242989167,CE-EN-ER,2025-08-27T09:37:11.505Z
6285337370210,CETASA MART,2025-08-27T09:37:44.602Z
6282335361335,CHATME CELL,2025-08-27T09:38:17.652Z
6285237556905,Cikok Cell,2025-08-27T09:38:50.718Z
6285338312040,Cinda Cell,2025-08-27T09:39:23.791Z
6281353688848,Cir Cell,2025-08-27T09:40:12.989Z
6281916472783,CIRINE BALI,2025-08-27T09:40:46.081Z
6287767656433,D'CROT,2025-08-27T09:41:28.305Z
6281353330301,D'Tha Shop,2025-08-27T09:42:01.384Z
6285338858886,DANI SURYA MANDIRI,2025-08-27T09:42:37.594Z
6281916423808,Dania Mart,2025-08-27T09:43:10.636Z
6282132829203,Danish Mart,2025-08-27T09:43:43.723Z
6282112101995,DAPUR SEMBILAN,2025-08-27T09:44:16.775Z
6281934606485,DARMA AYU CELL,2025-08-27T09:44:52.887Z
6287787416285,DAVIN,2025-08-27T09:45:29.281Z
6285738596977,DE BANGUN WARUNG,2025-08-27T09:46:02.465Z
6281238861817,DE PIPO,2025-08-28T03:39:44.632Z
6281337594523,DEPO AIR MINUM ISI ULANG PUTRI REZEKI,2025-08-28T03:40:24.404Z
6281775147663,DEPOT CHIMU,2025-08-28T03:40:57.496Z
6281805632476,DEPOT DARMA,2025-08-28T03:41:30.530Z
6282341436938,DEPOT SARI NADI,2025-08-28T03:42:03.636Z
6287761756294,Depot Vegetarian Bahagia,2025-08-28T03:42:36.658Z
6282236637920,Desa Rafting,2025-08-28T03:43:09.800Z
6285238091500,DEVI CELL,2025-08-28T03:43:42.841Z
628155778420,Dewara Sport,2025-08-28T03:44:28.254Z
6281805327411,Dewata Mart,2025-08-28T03:45:01.891Z
6281339516872,DEWATA MEET SHOP,2025-08-28T03:45:35.114Z
6282146485925,Dewata Plastik,2025-08-28T03:46:08.205Z
62881038399640,DEWI KITA,2025-08-28T03:46:41.318Z
6285230066126,DEWI SEMBAKO,2025-08-28T03:47:17.620Z
6287704804386,DFC Rubaya,2025-08-28T03:47:50.657Z
6285738348082,Dhila Bambu,2025-08-28T03:48:29.895Z
628123671196,DIAN MART,2025-08-28T03:49:03.117Z
6281337256445,Dica Cell,2025-08-28T03:49:36.282Z
6285792276505,DINI BAROKAH 2,2025-08-28T03:50:13.027Z
6281999101529,DIPONOGORO,2025-08-28T03:50:46.313Z
6285940893344,Dira Collection,2025-08-28T03:51:19.517Z
628123953172,DS PALOMA SHOPWAY,2025-08-28T03:52:02.008Z
628124693383,DUA DEWI CELL,2025-08-28T03:52:35.126Z
6281558929793,E MART KELIKI,2025-08-28T03:53:11.278Z
6283115311031,EDHO CELL,2025-08-28T03:53:44.332Z
62817300436,EDI 5,2025-08-28T03:54:20.568Z
6281913726256,EDI 6,2025-08-28T03:54:53.643Z
6285792779545,EDI 7,2025-08-28T03:55:26.705Z
62895392370908,EGOL MART,2025-08-28T03:55:59.698Z
6281353105696,EKA BATUAN,2025-08-28T03:56:32.737Z
6285930307006,Elfatih 2,2025-08-28T03:57:12.009Z
628123621192,EM EM GI MART,2025-08-28T03:57:45.041Z
6285237164286,Eni Cell,2025-08-28T03:58:18.057Z
6281916544606,ERNA WATI,2025-08-28T03:58:51.116Z
6285231418156,FAMILY BAROKAH,2025-08-28T03:59:27.294Z
6281808240660,FAMILY BLESSING MM,2025-08-28T04:00:00.342Z
6282337994976,Fania Cell,2025-08-28T04:00:39.317Z
6281338637021,FANTASI PS3,2025-08-28T04:01:12.545Z
6287750833383,FARIDA CELL,2025-08-28T04:01:45.746Z
6282339112510,FARIZI MART,2025-08-28T04:02:19.117Z
6281280032900,FIFIN A2,2025-08-28T04:02:58.486Z
6282247659863,FIRDAUH MART PUTRA,2025-08-28T04:03:31.473Z
6282310349697,FITA CELL,2025-08-28T04:04:04.985Z
628123633038,FLEXA FROZEN,2025-08-28T04:04:37.994Z
6285737246822,FLORA CELL,2025-08-28T04:05:11.424Z
6287897895141,FOUNTAIN GAMING CAFE,2025-08-28T04:05:44.493Z
6282146573023,FRANS WAYAN,2025-08-28T04:06:17.616Z
6282302274536,Galuh Jaya,2025-08-28T04:06:59.949Z
6287765558869,GANDIVA MART,2025-08-28T04:07:32.996Z
6282147586553,Ganesha Mart,2025-08-28T04:08:06.174Z
6285737265370,GAPURA MART,2025-08-28T04:08:39.289Z
6282237441541,GAY MAL JAYA MART,2025-08-28T04:09:12.391Z
6285858720474,GB MART,2025-08-28T04:09:45.462Z
6281916550307,GFC,2025-08-28T04:10:18.641Z
6281998877573,GIO SEMBAKO,2025-08-28T04:10:57.993Z
6281805555599,GOGO FRIED CHICKEN BATAN KENDAL,2025-08-28T04:11:34.415Z
6281337316768,GOGO FRIED CHICKEN TAMAN GIRI,2025-08-28T04:12:07.624Z
6281337316768,GOGO FRIED CHIKEN,2025-08-28T04:12:40.403Z
6281339194848,GOGO FRIED CHIKEN & GOMIEGO KAMPIAL,2025-08-28T04:13:13.599Z
628122261343,GOGO TUKAD BALIAN,2025-08-28T04:13:46.608Z
6282119776161,GOOD DENTIST (DALUNG),2025-08-28T04:14:19.747Z
628123902803,GS (GANIKA SEMBAKO),2025-08-28T04:14:59.023Z
6282339432988,GUNG GEK CELL,2025-08-28T04:15:32.196Z
6287768890611,GUNG PUTRI,2025-08-28T04:16:05.488Z
6285100463714,GUNUNG MERTHA,2025-08-28T04:16:38.593Z
6285333055850,GYO FOTOCOPY,2025-08-28T04:17:14.768Z
6281338459214,HADI CELL,2025-08-28T04:17:47.866Z
6285237026023,Hadi Motor,2025-08-28T04:18:20.896Z
6285339187965,HARAPAN JAYA,2025-08-28T04:19:00.018Z
628174752313,Hari Cell,2025-08-28T04:19:33.037Z
6281338374404,HARIS MART,2025-08-28T04:20:07.289Z
6281338596586,Harta Giri,2025-08-28T04:20:43.540Z
6285333585261,HI FOODIES,2025-08-28T04:21:20.166Z
6282359520711,HILDA 7,2025-08-28T04:21:56.285Z
6285339187965,HJ CELL BENOA ,2025-08-28T04:22:29.094Z
6285951318593,HOFIDAH CELL,2025-08-28T04:23:05.428Z
6285829222706,Hoky mart,2025-08-28T04:23:38.460Z
6281999909455,IANO CELL,2025-08-28T04:24:14.684Z
6287863156979,IBU DEA,2025-08-28T04:24:47.696Z
6282331173107,IHAA MART,2025-08-28T04:25:27.129Z
6287860052145,INDA JAYA CELL,2025-08-28T04:26:00.178Z
